Souches	Temps (h)	DO600nm	b-Gcl	a-Glc	Uracil	Formate	Succinate	Ethanol	Pyruvate	Acetate	Isoleucine	Valine	Leucine	Alanine	Phenylalanine	Tyrosine
gppARelA IP	11	60.2	0.00570627895192207	4.5982716021316	0.142617604028865	0.420615707326669	0.105641559870076	0.671891608496609	0.0654001747519476	0.371934380777593	0.0641385930539796	0.0644814319757813	0.0567018015439262	0.118291458356715	0.114174292976283	0.0154485713222877
RelA AI	2	1.8	52.9503939871184	86.650788702054	0.00541270365970633	0.029286178052071	0.000892115143711573	0.122025365394139	0.00063123122489316	1.31955881425805	0.00767499918299916	0.00469627398155573	0.00239178554207371	0.00421269373380324	-0.0112269613174308	-0.0229403489194999
RelA AI	3	3.26	52.7882041492563	87.0628561680467	0.00568091269482361	0.0317772857679041	-0.00218470955851646	0.053022824782632	-0.00118886894383468	1.83639181832704	0.00107169290983864	-0.00236575875147169	0.00084085129696362	-0.000369274970429134	0.000117437566794119	-0.00522449125989205
RelA AI	4	5	53.2110886300547	87.7502945363933	0.0174252441171472	0.088678524542524	0.00699954012465343	0.100184222976752	0.00963642907241769	1.572692406165	0.00193206792280451	0.00489960806516378	0.000287327170638633	0.00724598545879611	0.00800479141916067	-0.0102516237255383
RelA AI	5	8.7	50.9913336613785	84.2478389118547	0.00613450209374715	0.166451208628696	0.0266725287567726	0.171806037485379	0.00620756878294573	0.161584462148293	0.00366553166376246	0.0065665084080764	0.000526837631894695	0.0073500039536032	-0.0135946227143042	-0.0136830485576278
RelA IP	6	11.2	50.4736333546419	83.7539064545267	0.0206625008477081	0.467658549976121	0.0587236039073427	0.31737143511924	0.0036298562066716	0.482975083294573	0.00157467477478023	0.0521460747985298	0.00502422815473056	0.0300765424425886	0.00682350293381075	0.000207212854363951
RelA IP	6.666	11.2	47.3807877900943	79.07938297724	0.0220878226420191	0.579151012182483	0.0798640304889163	0.434686648346861	0.0381752872774102	0.633640821439756	0.00819650601839649	0.101691219546112	0.0119477480136607	0.100262974079808	0.0016152659868989	-0.00609886258324231
RelA IP	7.666	13.2	44.6745919240117	74.3406576342187	0.0223498339663653	0.444462330982633	0.0431120233911573	0.244246068508596	0.799916394597791	2.84619584812192	0.0354711806818674	0.413410375429521	0.0327314318857524	0.334859490905793	0.0451351178934107	0.0302079589453572
RelA IP	8.666	14.5	42.9495414048235	71.80073931319	0.0389336087943456	0.627112056157136	0.072656658209531	0.306990881816214	0.149833395239379	9.94932685262164	0.0499650702195716	0.700531709862893	0.047145561225182	0.742734142830229	0.0835253851832632	0.0439074897712562
RelA IP	9.6666	23.5	39.6261142151569	66.5074356314153	0.04239802545986	0.805292522479647	0.0879809111697913	0.389093706550708	0.041892621085004	11.5196867314012	0.0273694386991454	0.361468307588706	0.0429108611752996	0.162686694040366	0.066602662614976	0.0553169759971571
RelA IP	10.6666	31.3	35.1818216864889	59.5933753805615	0.0483108870774077	0.68703010991752	0.0744190956510897	0.388931125636246	0.0166224213212692	1.6524065846411	0.0131344268315963	0.0354331511709853	0.0319009392055333	0.0589093438468073	0.0687036926452283	0.0670202167334053
RelA IP	11.6666	45	29.5801730333347	49.1080421426548	0.0760711481882839	1.45343510257058	0.207415071152546	0.96359969076324	0.0697203190790942	1.78406076455262	0.027265027766686	0.134163790790706	0.0501241147566429	0.14636095051864	0.0844512026038563	0.0486396987277845
